N,종목명,현재가,전일비변동,전일비,등락률,액면가,거래량,거래대금,매수호가,시가총액,영업이익,PER,액면가,전일거래량,시가,매도호가,자산총계,영업이익증가율,액면가,고가,매수총잔량,부채총계,당기순이익,외국인비율,액면가,저가,매도총잔량,상장주식수,매출액,주당순이익,액면가,보통주배당금
53,고영,"15,810",하락,160,-1.00%,100,"1,075,799","17,091","15,800","10,854",33,64.01,100,"1,377,302","16,090","15,810","3,779",-83.69,100,"16,100","14,372",548,210,15.01,100,"15,640","20,768","68,655","2,025",247,100,140
54,오스코텍,"28,100",하락,50,-0.18%,500,"110,043","3,119","28,100","10,748",-27,"2,810.00",500,"169,624","28,150","28,150","1,708",91.63,500,"28,900","7,354",384,-16,10.17,500,"27,900","6,733","38,248",340,10,500,N/A
55,카페24,"44,100",하락,800,-1.78%,500,"246,059","10,938","44,100","10,696",319,36.03,500,"167,300","44,900","44,150","3,423","1,978.14",500,"45,150","15,785","1,267",235,22.14,500,"44,050","5,300","24,253","3,025","1,224",500,N/A
56,코나아이,"71,600",상승,"12,600",+21.36%,500,"5,698,466","392,924","71,500","10,427",334,31.28,500,"4,489,986","61,500","71,600","4,131",-0.80,500,"74,900","7,985","2,153",302,2.22,500,"60,400","31,311","14,563","2,363","2,289",500,680
57,하림지주,"9,070",하락,250,-2.68%,100,"849,153","7,721","9,060","10,159","7,655",10.61,100,"1,655,897","9,330","9,070","160,790",34.88,100,"9,400","22,817","101,370","1,748",8.43,100,"8,950","10,024","112,006","122,730",855,100,120
58,제이앤티씨,"17,420",상승,480,+2.83%,500,"364,250","6,371","17,410","10,077",-461,-12.03,500,"134,565","17,130","17,420","6,397",-261.51,500,"17,850","3,909","3,026",-334,2.01,500,"16,950","2,089","57,848","2,732","-1,448",500,N/A
59,SOOP,"86,700",상승,300,+0.35%,500,"62,733","5,407","86,600","9,966","1,135",9.64,500,"77,286","86,800","86,700","7,157",25.69,500,"87,100","1,519","3,333","1,024",35.52,500,"85,000","1,738","11,495","4,132","8,990",500,"1,500"
60,올릭스,"49,150",하락,"2,550",-4.93%,500,"651,331","32,692","49,150","9,720",-309,-18.98,500,"890,819","52,000","49,200",712,-70.02,500,"53,500","8,278",528,-407,4.83,500,"48,400","31,804","19,775",57,"-2,589",500,0
61,성광벤드,"34,050",상승,"6,950",+25.65%,500,"4,427,774","142,050","34,050","9,510",420,24.84,500,"234,627","27,800","34,100","5,631",-6.35,500,"34,700","17,691",443,410,22.69,500,"27,750","33,535","27,929","2,277","1,371",500,200
62,위메이드,"27,550",상승,550,+2.04%,500,"100,694","2,764","27,500","9,353",71,4.22,500,"159,011","27,300","27,550","18,757",106.40,500,"27,800","7,646","10,438","1,816",8.41,500,"27,000","8,419","33,948","7,119","6,530",500,N/A
