N,종목명,현재가,전일비변동,전일비,등락률,액면가,주당순이익,PER,ROE,ROA,PBR,유보율
332,DI동일,"33,800",상승,500,+1.50%,500,-139,-243.17,0.28,0.25,1.26,"4,234.0"
333,녹십자홀딩스,"14,580",하락,120,-0.82%,500,"1,367",10.67,2.43,-0.30,0.69,"3,630.3"
334,삼양홀딩스,"78,800",상승,"5,300",+7.21%,"5,000","2,846",27.69,1.38,1.71,0.28,"4,122.4"
335,KG모빌리티,"3,380",하락,45,-1.31%,"1,000",-87,-38.85,2.70,1.18,0.47,-5.8
336,솔루스첨단소재,"9,720",상승,"1,140",+13.29%,100,-141,-68.94,0.62,-2.26,1.17,"7,603.3"
337,ACE 미국빅테크TOP7 Plus,"16,800",하락,295,-1.73%,0,N/A,N/A,N/A,N/A,N/A,N/A
338,신한알파리츠,"5,630",하락,30,-0.53%,"1,000",99,56.87,0.61,0.23,1.08,422.4
339,한화리츠,"3,780",상승,5,+0.13%,500,101,37.43,0.83,0.24,0.96,831.4
340,덴티움,"61,200",하락,600,-0.97%,500,"6,198",9.87,14.27,8.68,0.94,"8,834.4"
341,PLUS 200,"36,685",하락,40,-0.11%,0,N/A,N/A,N/A,N/A,N/A,N/A
342,유안타증권,"3,330",하락,80,-2.35%,"5,000",344,9.68,4.52,0.44,0.42,59.1
343,TIGER 머니마켓액티브,"100,410",상승,25,+0.02%,0,N/A,N/A,N/A,N/A,N/A,N/A
344,현대홈쇼핑,"54,900",상승,300,+0.55%,"5,000","6,942",7.91,7.43,4.05,0.27,"3,628.6"
345,넥센타이어,"6,740",상승,30,+0.45%,500,"1,203",5.60,7.10,2.88,0.36,"3,093.8"
346,KODEX 미국빅테크10(H),"47,920",하락,245,-0.51%,0,N/A,N/A,N/A,N/A,N/A,N/A
347,NHN,"19,280",상승,220,+1.15%,500,"-3,937",-4.90,-8.60,-5.80,0.42,"8,281.1"
348,N2 코스피 변동성 매칭형 양매도 ETN,"9,295",상승,85,+0.92%,0,N/A,N/A,N/A,N/A,N/A,N/A
349,TKG휴켐스,"15,800",하락,470,-2.89%,"1,000","1,509",10.47,9.09,6.83,0.72,"2,195.3"
350,키움 CD금리투자 ETN,"103,755",상승,5,0.00%,0,N/A,N/A,N/A,N/A,N/A,N/A
351,TIGER 리츠부동산인프라,"4,255",상승,20,+0.47%,0,N/A,N/A,N/A,N/A,N/A,N/A
352,GS피앤엘,"32,500",상승,"2,200",+7.26%,"1,000",-573,-56.72,N/A,N/A,0.76,"4,123.4"
353,아이에스동서,"21,150",상승,100,+0.48%,500,"-5,961",-3.55,-10.19,-4.11,0.47,"8,633.2"
354,세진중공업,"11,170",상승,30,+0.27%,500,383,29.16,6.16,3.78,3.35,509.1
355,금양,"9,900",보합,0,0.00%,500,"-2,420",-4.09,-40.88,-18.99,1.27,"1,197.9"
356,ACE 미국배당다우존스,"11,575",하락,80,-0.69%,0,N/A,N/A,N/A,N/A,N/A,N/A
357,LG전자우,"36,400",하락,50,-0.14%,"5,000","3,825",9.52,N/A,N/A,0.30,N/A
358,신풍제약,"11,770",하락,20,-0.17%,500,-255,-46.16,-5.85,-4.44,2.36,915.2
359,LX홀딩스,"8,160",하락,90,-1.09%,"1,000","2,346",3.48,9.08,8.90,0.33,"2,172.3"
360,카프로,"3,660",보합,0,0.00%,500,210,17.43,102.36,14.56,7.77,-145.4
361,KODEX 반도체,"31,220",상승,285,+0.92%,0,N/A,N/A,N/A,N/A,N/A,N/A
362,KODEX 단기채권,"113,355",상승,25,+0.02%,0,N/A,N/A,N/A,N/A,N/A,N/A
363,KODEX 미국30년국채타겟커버드콜(합성 H),"8,575",하락,50,-0.58%,0,N/A,N/A,N/A,N/A,N/A,N/A
364,유니드,"90,500",하락,500,-0.55%,"5,000","11,360",7.97,7.96,5.81,0.59,"3,267.1"
365,한국단자,"60,000",하락,"1,200",-1.96%,500,"12,988",4.62,14.16,9.54,0.57,"20,239.3"
366,TIGER Fn반도체TOP10,"9,815",상승,70,+0.72%,0,N/A,N/A,N/A,N/A,N/A,N/A
367,HJ중공업,"7,240",상승,20,+0.28%,"5,000",-41,-176.59,1.56,0.21,1.73,-96.3
368,KG스틸,"5,940",하락,390,-6.16%,"5,000","1,757",3.38,6.93,4.05,0.29,255.5
369,KODEX MSCI Korea TR,"11,880",하락,35,-0.29%,0,N/A,N/A,N/A,N/A,N/A,N/A
370,F&F홀딩스,"15,160",하락,500,-3.19%,500,"2,627",5.77,4.92,8.18,0.27,"21,897.8"
371,아세아,"284,500",하락,"2,000",-0.70%,"5,000","25,096",11.34,5.58,3.28,0.41,"15,216.0"
372,쿠쿠홈시스,"26,300",상승,600,+2.33%,100,"5,424",4.85,14.00,10.81,0.62,"40,964.9"
373,한화3우B,"30,400",상승,450,+1.50%,"5,000","10,464",2.91,N/A,N/A,0.27,N/A
374,KODEX 국고채30년액티브,"122,890",하락,450,-0.36%,0,N/A,N/A,N/A,N/A,N/A,N/A
375,KODEX 인버스,"4,200",상승,10,+0.24%,0,N/A,N/A,N/A,N/A,N/A,N/A
376,HD현대에너지솔루션,"52,200",상승,"3,950",+8.19%,"5,000","1,646",31.71,0.03,0.02,1.59,555.4
377,KODEX 미국30년국채액티브(H),"8,780",하락,60,-0.68%,0,N/A,N/A,N/A,N/A,N/A,N/A
378,현대그린푸드,"17,020",하락,130,-0.76%,500,"2,238",7.61,11.41,8.11,0.83,"3,840.7"
379,애경케미칼,"11,490",하락,130,-1.12%,500,97,118.45,0.54,0.64,0.77,"2,892.6"
380,제이알글로벌리츠,"2,775",하락,5,-0.18%,"1,000",105,26.43,2.48,0.98,0.68,333.2
381,삼천리,"134,200",상승,200,+0.15%,"5,000","27,036",4.96,6.55,2.72,0.28,"7,896.2"
382,코스모화학,"13,940",상승,170,+1.23%,"1,000","-1,561",-8.93,-24.71,-4.56,2.35,222.3
383,제주항공,"6,620",하락,30,-0.45%,"1,000",-722,-9.17,6.84,1.09,1.83,260.7
384,JW중외제약,"22,900",하락,300,-1.29%,"2,500","2,507",9.13,21.87,10.41,1.69,426.9
385,한화손해보험,"4,550",하락,30,-0.66%,"5,000","2,217",2.05,10.36,1.67,0.24,282.4
386,대한유화,"81,200",하락,"1,400",-1.69%,"5,000",158,513.92,-0.47,-0.39,0.28,"4,315.2"
387,삼양사,"51,000",보합,0,0.00%,"5,000","10,808",4.72,7.53,4.18,0.29,"2,704.0"
388,한일홀딩스,"17,030",상승,220,+1.31%,"1,000","3,032",5.62,7.56,5.46,0.33,"8,021.2"
389,KB KIS CD금리투자 ETN,"52,030",보합,0,0.00%,0,N/A,N/A,N/A,N/A,N/A,N/A
390,TIGER 인도니프티50,"13,270",하락,115,-0.86%,0,N/A,N/A,N/A,N/A,N/A,N/A
391,한국쉘석유,"397,000",하락,"5,500",-1.37%,"5,000","29,500",13.46,28.93,19.31,4.82,"1,718.2"
392,바이오노트,"5,050",하락,50,-0.98%,500,415,12.17,3.46,3.36,0.32,"2,959.9"
393,PLUS 머니마켓액티브,"52,255",상승,15,+0.03%,0,N/A,N/A,N/A,N/A,N/A,N/A
394,케이씨텍,"24,600",상승,250,+1.03%,500,"2,341",10.51,11.28,10.04,1.00,"4,806.0"
395,E1,"74,100",하락,500,-0.67%,"5,000","15,251",4.86,3.83,0.69,0.25,"4,931.3"
396,롯데손해보험,"1,635",하락,3,-0.18%,"1,000",78,20.96,2.31,0.16,0.64,156.3
397,퍼시스,"44,050",하락,300,-0.68%,"1,000","2,879",15.30,8.64,7.69,0.69,"4,486.7"
398,TIGER 미국달러단기채권액티브,"12,515",하락,60,-0.48%,0,N/A,N/A,N/A,N/A,N/A,N/A
399,KODEX 국고채3년,"62,855",상승,45,+0.07%,0,N/A,N/A,N/A,N/A,N/A,N/A
400,PI첨단소재,"17,060",하락,580,-3.29%,500,952,17.92,7.16,4.47,1.50,"2,731.7"
401,SBS,"26,900",상승,950,+3.66%,"5,000",755,35.63,3.80,2.36,0.56,865.5
402,TIGER 테슬라채권혼합Fn,"13,805",하락,250,-1.78%,0,N/A,N/A,N/A,N/A,N/A,N/A
403,대한해운,"1,540",하락,15,-0.96%,500,465,3.31,8.93,3.54,0.24,770.1
404,OCI,"55,200",하락,100,-0.18%,"5,000","4,741",11.64,N/A,N/A,0.42,"2,588.9"
405,진에어,"9,410",하락,100,-1.05%,"1,000","1,401",6.72,51.15,8.78,1.75,363.1
406,KODEX 26-12 회사채(AA-이상)액티브,"10,795",보합,0,0.00%,0,N/A,N/A,N/A,N/A,N/A,N/A
407,엠씨넥스,"27,250",하락,50,-0.18%,500,"3,768",7.23,18.28,11.46,1.22,"4,113.2"
408,대신증권우,"18,700",하락,320,-1.68%,"5,000","1,607",11.64,N/A,N/A,0.41,N/A
409,KCC글라스,"30,400",하락,300,-0.98%,"1,000","1,042",29.17,2.48,1.57,0.33,"9,215.1"
410,LF,"16,410",하락,250,-1.50%,"5,000","2,610",6.29,4.87,3.20,0.29,996.2
411,일진하이솔루스,"13,210",상승,120,+0.92%,500,22,600.45,0.57,0.53,1.51,"1,648.5"
412,TIGER 우량회사채액티브,"117,370",상승,100,+0.09%,0,N/A,N/A,N/A,N/A,N/A,N/A
413,풀무원,"12,450",하락,200,-1.58%,500,820,15.18,11.40,1.53,1.55,647.9
414,KIWOOM 국고채10년,"116,555",상승,60,+0.05%,0,N/A,N/A,N/A,N/A,N/A,N/A
415,KODEX 미국AI전력핵심인프라,"13,535",하락,155,-1.13%,0,N/A,N/A,N/A,N/A,N/A,N/A
416,TIGER 200 IT,"26,625",상승,70,+0.26%,0,N/A,N/A,N/A,N/A,N/A,N/A
417,TIGER 미국달러SOFR금리액티브(합성),"56,800",하락,305,-0.53%,0,N/A,N/A,N/A,N/A,N/A,N/A
418,CJ4우(전환),"111,500",보합,0,0.00%,"5,000","2,785",40.04,N/A,N/A,0.69,N/A
419,고려제강,"17,410",하락,100,-0.57%,"1,000",571,30.49,1.95,1.30,0.26,"6,623.9"
